"","spp","lat","lon","species_original"
"72","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"73","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"74","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"75","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"76","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"77","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"78","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"79","Tersina viridis",-25.9,-54.6,"Tersina viridis viridis (Illiger, 1811)"
"80","Tersina viridis",-21.1,-51.4833,"Tersina viridis viridis (Illiger, 1811)"
"81","Tersina viridis",-21.1,-51.4833,"Tersina viridis viridis (Illiger, 1811)"
"82","Tersina viridis",-22.5,-44.57,"Tersina viridis viridis (Illiger, 1811)"
"83","Tersina viridis",-20.08,-42.37,"Tersina viridis viridis (Illiger, 1811)"
"84","Tersina viridis",-13.62,-48.9,"Tersina viridis viridis (Illiger, 1811)"
"85","Tersina viridis",-14.442222,-67.528333,"Tersina viridis viridis (Illiger, 1811)"
"86","Tersina viridis",-22.91667,-43.35,"Tersina viridis viridis (Illiger, 1811)"
"87","Tersina viridis",-23.22,-44.72,"Tersina viridis viridis (Illiger, 1811)"
"88","Tersina viridis",-23.22,-44.72,"Tersina viridis viridis (Illiger, 1811)"
"89","Tersina viridis",-23.22,-44.72,"Tersina viridis viridis (Illiger, 1811)"
"90","Tersina viridis",-25.60701,-54.59905,"Tersina viridis viridis (Illiger, 1811)"
"91","Tersina viridis",-25.585459,-54.597581,"Tersina viridis viridis (Illiger, 1811)"
"92","Tersina viridis",-25.585459,-54.597581,"Tersina viridis viridis (Illiger, 1811)"
"93","Tersina viridis",-25.585459,-54.597581,"Tersina viridis viridis (Illiger, 1811)"
"94","Tersina viridis",-25.585459,-54.597581,"Tersina viridis viridis (Illiger, 1811)"
"95","Tersina viridis",-20.58333,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"96","Tersina viridis",-20.58333,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"97","Tersina viridis",-23.266667,-55.533333,"Tersina viridis viridis (Illiger, 1811)"
"98","Tersina viridis",-23.266667,-55.533333,"Tersina viridis viridis (Illiger, 1811)"
"99","Tersina viridis",-23.266667,-55.533333,"Tersina viridis viridis (Illiger, 1811)"
"100","Tersina viridis",-23.266667,-55.533333,"Tersina viridis viridis (Illiger, 1811)"
"101","Tersina viridis",-23.2666,-55.5333,"Tersina viridis viridis (Illiger, 1811)"
"102","Tersina viridis",-23.71667,-48.45,"Tersina viridis viridis (Illiger, 1811)"
"103","Tersina viridis",-23.71667,-48.45,"Tersina viridis viridis (Illiger, 1811)"
"104","Tersina viridis",-23.404383,-55.896339,"Tersina viridis viridis (Illiger, 1811)"
"105","Tersina viridis",-18.5,-54.75,"Tersina viridis viridis (Illiger, 1811)"
"106","Tersina viridis",-15.41667,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"107","Tersina viridis",-15.41667,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"108","Tersina viridis",-15.41667,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"109","Tersina viridis",-15.41667,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"110","Tersina viridis",-14.58333,-49.03333,"Tersina viridis viridis (Illiger, 1811)"
"111","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"112","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"113","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"114","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"115","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"116","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
