species,lon,lat,n,
209,Diplusodon hirsutus,-43,-19.496583,1
210,Diplusodon hirsutus,-43.58333,-19.33333,1
211,Diplusodon hirsutus,-44,-18,1
212,Diplusodon hirsutus,-45.9225,-16.722222,1
213,Diplusodon hirsutus,-42.916666,-16.533333,1
214,Diplusodon hirsutus,-42.928333,-16,1
215,Diplusodon hirsutus,-60.81277,-13.89472,1
216,Diplusodon hirsutus,-41.81667,-13.48333,1
217,Diplusodon hirsutus,-41.49,-13.29,1
218,Diplusodon hirsutus,-41.25,-11.616667,1
219,Diplusodon hirsutus,-41.2,-11.583333,1
220,Diplusodon hirsutus,-52.8731,-10.8339,1
221,Diplusodon hirsutus,-41.1225,-11.3525,1
222,Diplusodon hirsutus,-41.333333,-10.366667,1
223,Diplusodon hirsutus,-41.2,-10.22,1
224,Elaenia cristata,-47.875923,-21.975903,1
225,Elaenia cristata,-47.284977,-20.400573,1
226,Elaenia cristata,-46.40835,-20.546812,1
227,Elaenia cristata,-44.480921,-20.759187,1
228,Elaenia cristata,-44.190018,-21.098555,1
229,Elaenia cristata,-52.782856,-19.97469,1
230,Elaenia cristata,-47.44598,-19.865528,1
231,Elaenia cristata,-46.477543,-20.217766,1
232,Elaenia cristata,-44.015497,-20.032212,1
233,Elaenia cristata,-48.179115,-18.711342,1
234,Elaenia cristata,-46.78305,-19.020845,1
235,Elaenia cristata,-44.879086,-19.27911,1
236,Elaenia cristata,-43.545361,-19.376961,1
237,Elaenia cristata,-39.702507,-18.405779,1
238,Elaenia cristata,-53.27948,-17.731302,1
239,Elaenia cristata,-47.686646,-16.74041,1
240,Elaenia cristata,-43.034542,-16.852457,1
241,Elaenia cristata,-67.73938,-16.223082,1
242,Elaenia cristata,-55.832235,-15.408869,1
243,Elaenia cristata,-48.893055,-15.725069,1
244,Elaenia cristata,-47.802235,-15.795263,1
245,Elaenia cristata,-45.97728,-15.465298,1
246,Elaenia cristata,-64.919685,-14.825269,1
247,Elaenia cristata,-55.768092,-15.362897,1
248,Elaenia cristata,-45.974438,-14.816561,1
249,Elaenia cristata,-42.54802,-14.408298,1
250,Elaenia cristata,-56.691452,-13.813784,1
251,Elaenia cristata,-47.564415,-14.190137,1
252,Elaenia cristata,-41.312042,-13.680868,1
253,Elaenia cristata,-72.66711,-12.650366,1
254,Elaenia cristata,-64.56082,-12.664043,1
255,Elaenia cristata,-41.437217,-12.446671,1
256,Elaenia cristata,-38.413548,-12.966629,1
257,Elaenia cristata,-38.177605,-12.655761,1
258,Elaenia cristata,-46.431526,-12.386448,1
259,Elaenia cristata,-65.809721,-11.304857,1
260,Elaenia cristata,-48.26489,-10.20946,1
261,Elaenia cristata,-48.16657,-10.199948,1
262,Elaenia cristata,-40.614746,-9.932417,1
263,Elaenia cristata,-35.541663,-9.448708,1
264,Elaenia cristata,-35.08416,-8.671568,1
265,Elaenia cristata,-63.932125,-8.313487,1
266,Elaenia cristata,-48.2398,-8.099352,1
267,Elaenia cristata,-39.838707,-7.408793,1
268,Elaenia cristata,-34.812685,-7.330852,1
269,Elaenia cristata,-35.221865,-5.867365,1
270,Elaenia cristata,-38.799744,-3.608264,1
271,Elaenia cristata,-39.292774,-3.27516,1
272,Elaenia cristata,-70.20196,1.271005,1
273,Elaenia cristata,-61.141951,1.293437,1
274,Elaenia cristata,-59.522724,2.991754,1
275,Elaenia cristata,-67.880432,3.817581,1
276,Elaenia cristata,-61.722155,3.773802,1
277,Elaenia cristata,-59.26527,3.946731,1
278,Elaenia cristata,-59.05888,4.165954,1
279,Elaenia cristata,-57.226925,4.405718,1
280,Elaenia cristata,-60.829926,5.108128,1
281,Elaenia cristata,-55.170799,5.449197,1
282,Elaenia cristata,-52.60114,5.088127,1
283,Elaenia cristata,-61.36389,5.61736,1
284,Elaenia cristata,-55.149654,5.82581,1
285,Elaenia cristata,-66.73782,10.43362,1
286,Miconia albicans,-50.01796,-28.852951,1
287,Miconia albicans,-50.25,-24.55,1
288,Miconia albicans,-48.317,-25.267,1
289,Miconia albicans,-55.41666,-24.08333,1
290,Miconia albicans,-52.393028,-24.089194,1
291,Miconia albicans,-50.24278,-24.24583,1
292,Miconia albicans,-48.416667,-23.45,1
293,Miconia albicans,-48,-23.566667,1
294,Miconia albicans,-46.85,-23.6833333,1
295,Miconia albicans,-46.241667,-23.42,1
296,Miconia albicans,-45.036389,-23.461111,1
297,Miconia albicans,-56.5666667,-22.8,1
298,Miconia albicans,-56.08,-22.67,1
299,Miconia albicans,-53.718333,-22.929722,1
300,Miconia albicans,-52.7681,-22.4047,1
301,Miconia albicans,-51.507083,-23.340778,1
302,Miconia albicans,-50.3694,-22.5989,1
303,Miconia albicans,-49.388889,-22.670556,1
304,Miconia albicans,-48.5,-22.916667,1
305,Miconia albicans,-47.838889,-22.916667,1
306,Miconia albicans,-47.042806,-23.237111,1
307,Miconia albicans,-45.88,-23.17028,1
308,Miconia albicans,-44.656667,-22.642778,1
309,Miconia albicans,-43.463889,-22.478889,1
