species,lon,lat,n,
662,Miconia albicans,-61.4603,7.4867,1
663,Miconia albicans,-75.651953,8.382294,1
664,Miconia albicans,-75.08416,8.31722,1
665,Miconia albicans,-74.194167,8.559444,1
666,Miconia albicans,-72.462306,7.992,1
667,Miconia albicans,-71.7,7.95,1
668,Miconia albicans,-62.85,7.66666,1
669,Miconia albicans,-61.88,8.03,1
670,Miconia albicans,-73.263138,9.609362,1
671,Miconia albicans,-73.202343,9.545808,1
672,Miconia albicans,-70.1077778,8.7713889,1
673,Miconia albicans,-73.582177,10.44782,1
674,Miconia albicans,-70.8947222,9.9013889,1
675,Miconia albicans,-69.6119444,9.8636111,1
676,Miconia albicans,-68.41666,10.16666,1
677,Miconia albicans,-67.6022222,10.3838889,1
678,Miconia albicans,-66.91667,10.5,1
679,Miconia albicans,-74.1768,11.2336,1
680,Miconia ferruginata,-45.8653,-23.2813,1
681,Miconia ferruginata,-44.961944,-21.728333,1
682,Miconia ferruginata,-41.960278,-21.962222,1
683,Miconia ferruginata,-55.488889,-20.455278,1
684,Miconia ferruginata,-46.4,-20.55,1
685,Miconia ferruginata,-45.985417,-20.912222,1
686,Miconia ferruginata,-44.291522,-21.122375,1
687,Miconia ferruginata,-43.905833,-20.445833,1
688,Miconia ferruginata,-54.28,-19.660833,1
689,Miconia ferruginata,-47.43972,-19.86556,1
690,Miconia ferruginata,-46.36556,-20.24556,1
691,Miconia ferruginata,-44.46,-19.62,1
692,Miconia ferruginata,-43.74472,-19.51361,1
693,Miconia ferruginata,-57.616667,-19.25,1
694,Miconia ferruginata,-55.105556,-19.299167,1
695,Miconia ferruginata,-54.025556,-18.681389,1
696,Miconia ferruginata,-52.994444,-19.0575,1
697,Miconia ferruginata,-48.303611,-18.990556,1
698,Miconia ferruginata,-48.181389,-18.5925,1
699,Miconia ferruginata,-47.16,-19.233333,1
700,Miconia ferruginata,-45.72,-18.54,1
701,Miconia ferruginata,-43.756944,-19.005556,1
702,Miconia ferruginata,-42.594722,-19.221389,1
703,Miconia ferruginata,-57.506111,-18.011944,1
704,Miconia ferruginata,-54.875,-18.204917,1
705,Miconia ferruginata,-53.681667,-18.143333,1
706,Miconia ferruginata,-52.75,-18.316667,1
707,Miconia ferruginata,-48.625,-17.7417,1
708,Miconia ferruginata,-47.916667,-18.163056,1
709,Miconia ferruginata,-47.103519,-17.555453,1
710,Miconia ferruginata,-44.394444,-17.659167,1
711,Miconia ferruginata,-44.182222,-17.752778,1
712,Miconia ferruginata,-43.081389,-17.472778,1
713,Miconia ferruginata,-53.716667,-16.866667,1
714,Miconia ferruginata,-53.0066667,-16.8441666,1
715,Miconia ferruginata,-51.78,-17.2,1
716,Miconia ferruginata,-50.698889,-16.982778,1
717,Miconia ferruginata,-49.3225,-16.837222,1
718,Miconia ferruginata,-48.663455,-16.640799,1
719,Miconia ferruginata,-47.666667,-16.75,1
720,Miconia ferruginata,-46.673597,-17.249752,1
721,Miconia ferruginata,-43.3,-16.416667,1
722,Miconia ferruginata,-42.93,-16.58,1
723,Miconia ferruginata,-59.5,-16.03333,1
724,Miconia ferruginata,-56.333333,-15.466667,1
725,Miconia ferruginata,-55.831417,-15.407306,1
726,Miconia ferruginata,-55,-15.466667,1
727,Miconia ferruginata,-50.166667,-16.066667,1
728,Miconia ferruginata,-48.266667,-16.333333,1
729,Miconia ferruginata,-47.916667,-15.766667,1
730,Miconia ferruginata,-46.516944,-16.008611,1
731,Miconia ferruginata,-42.481111,-15.441944,1
732,Miconia ferruginata,-39.565278,-15.391667,1
733,Miconia ferruginata,-60,-15,1
734,Miconia ferruginata,-58.266667,-14.5,1
735,Miconia ferruginata,-55.680556,-14.473611,1
736,Miconia ferruginata,-55.2,-14.6,1
737,Miconia ferruginata,-49.274167,-14.663611,1
738,Miconia ferruginata,-48.4597,-14.4739,1
739,Miconia ferruginata,-48.178333,-14.475556,1
740,Miconia ferruginata,-46.629166,-14.939722,1
741,Miconia ferruginata,-45.788611,-15.363889,1
742,Miconia ferruginata,-42.546667,-14.752778,1
743,Miconia ferruginata,-42.158611,-15.255277,1
744,Miconia ferruginata,-59.251667,-14.245,1
745,Miconia ferruginata,-58.1,-14.33,1
746,Miconia ferruginata,-56.883333,-14.383333,1
747,Miconia ferruginata,-56.15,-14.3,1
748,Miconia ferruginata,-48.266667,-13.65,1
749,Miconia ferruginata,-47.800833,-14.174722,1
750,Miconia ferruginata,-46.998889,-13.832222,1
751,Miconia ferruginata,-45.3167,-13.4511,1
752,Miconia ferruginata,-42.633333,-13.816667,1
753,Miconia ferruginata,-41.816667,-13.483333,1
754,Miconia ferruginata,-64.65666,-12.48666,1
755,Miconia ferruginata,-56.325,-13.196944,1
756,Miconia ferruginata,-55.725,-12.528333,1
757,Miconia ferruginata,-48.547778,-12.971667,1
758,Miconia ferruginata,-48.044444,-13.371389,1
759,Miconia ferruginata,-46.98,-12.78,1
760,Miconia ferruginata,-41.75,-13.25,1
761,Miconia ferruginata,-38.316667,-12.683333,1
762,Miconia ferruginata,-47.7239,-11.4877,1
763,Miconia ferruginata,-46.726667,-11.659167,1
764,Miconia ferruginata,-40.554444,-11.4075,1
765,Miconia ferruginata,-38.5,-12,1
766,Miconia ferruginata,-37.889444,-11.768333,1
767,Miconia ferruginata,-52.8731,-10.8339,1
768,Miconia ferruginata,-47.53575,-11.145,1
769,Miconia ferruginata,-47.143611,-11.146667,1
770,Miconia ferruginata,-40.407778,-10.943333,1
771,Miconia ferruginata,-40.183333,-10.45,1
772,Miconia ferruginata,-37.253,-10.4107,1
773,Miconia ferruginata,-37.054667,-10.536861,1
774,Miconia ferruginata,-59.45917,-10.16694,1
775,Miconia ferruginata,-48.27,-10.08,1
776,Miconia ferruginata,-48.172778,-10.224167,1
777,Miconia ferruginata,-44.392778,-10.258056,1
778,Miconia ferruginata,-41.233333,-10.383333,1
779,Miconia ferruginata,-38.35,-10.066667,1
780,Miconia ferruginata,-49.86,-9.36,1
781,Miconia ferruginata,-49.0211,-9.0654,1
782,Miconia ferruginata,-46.064444,-9.341389,1
783,Miconia ferruginata,-36.106389,-9.027,1
784,Miconia ferruginata,-63.476944,-8.070278,1
785,Miconia ferruginata,-50.050681,-7.757667,1
786,Miconia ferruginata,-46.62,-8.28,1
787,Miconia ferruginata,-47.908611,-6.679444,1
788,Miconia ferruginata,-35.256111,-6.393333,1
789,Miconia ferruginata,-35.142056,-6.741861,1
790,Miconia ferruginata,-35.297071,-6.37033,1
791,Miconia ferruginata,-55.680556,-4.473611,1
792,Miconia ferruginata,-75.356444,3.340861,1
793,Psittacanthus robustus,-44.622222,-22.4325,1
794,Psittacanthus robustus,-47.5508,-21.4792,1
795,Psittacanthus robustus,-46.564722,-21.838889,1
796,Psittacanthus robustus,-44.845805,-21.554604,1
797,Psittacanthus robustus,-42.05,-22,1
798,Psittacanthus robustus,-47.733333,-20.8,1
799,Psittacanthus robustus,-46.419444,-20.596944,1
800,Psittacanthus robustus,-45.882111,-20.427139,1
801,Psittacanthus robustus,-44.867972,-21.100333,1
802,Psittacanthus robustus,-44.166667,-21.083333,1
803,Psittacanthus robustus,-56.087017,-19.588499,1
804,Psittacanthus robustus,-47.437917,-20.207267,1
805,Psittacanthus robustus,-46.940389,-20.256,1
806,Psittacanthus robustus,-44.25,-19.85,1
807,Psittacanthus robustus,-43.873944,-19.637778,1
808,Psittacanthus robustus,-40.635556,-19.925556,1
809,Psittacanthus robustus,-51.995278,-18.439444,1
810,Psittacanthus robustus,-48.261566,-18.911483,1
811,Psittacanthus robustus,-47.266667,-19.333333,1
812,Psittacanthus robustus,-44.40417,-19.27444,1
813,Psittacanthus robustus,-43.637778,-19.348889,1
814,Psittacanthus robustus,-53.568889,-17.921944,1
815,Psittacanthus robustus,-48.6833333,-17.7,1
816,Psittacanthus robustus,-47.880278,-18.151389,1
817,Psittacanthus robustus,-45.753889,-18.146944,1
818,Psittacanthus robustus,-43.965278,-18.280556,1
819,Psittacanthus robustus,-43.204722,-18.0725,1
820,Psittacanthus robustus,-51.910556,-16.941944,1
821,Psittacanthus robustus,-50.627222,-16.992056,1
822,Psittacanthus robustus,-48.5333333,-16.7666667,1
823,Psittacanthus robustus,-47.6136,-16.7686,1
824,Psittacanthus robustus,-46.95105,-17.14195,1
825,Psittacanthus robustus,-46.166667,-16.516667,1
826,Psittacanthus robustus,-43.711639,-16.552833,1
827,Psittacanthus robustus,-42.966667,-16.6,1
828,Psittacanthus robustus,-39.127892,-16.725076,1
829,Psittacanthus robustus,-53.942778,-15.636667,1
830,Psittacanthus robustus,-50.383333,-16.183333,1
831,Psittacanthus robustus,-50.116667,-16.05,1
832,Psittacanthus robustus,-48.492222,-16.1375,1
833,Psittacanthus robustus,-47.95028,-16.25278,1
834,Psittacanthus robustus,-45.8225,-15.4425,1
835,Psittacanthus robustus,-43.424167,-16.331111,1
836,Psittacanthus robustus,-43.025277,-16.341666,1
837,Psittacanthus robustus,-56.45,-14.41,1
838,Psittacanthus robustus,-53.563333,-15.381111,1
839,Psittacanthus robustus,-52.333,-14.733,1
840,Psittacanthus robustus,-50.166667,-15.066667,1
841,Psittacanthus robustus,-48.45,-14.4961111,1
842,Psittacanthus robustus,-47.762972,-14.899,1
843,Psittacanthus robustus,-47.009583,-15.383383,1
844,Psittacanthus robustus,-45.814167,-14.630278,1
845,Psittacanthus robustus,-42.545277,-15.0625,1
846,Psittacanthus robustus,-56.7214,-13.4467,1
847,Psittacanthus robustus,-51.333333,-14.3,1
848,Psittacanthus robustus,-50,-14,1
849,Psittacanthus robustus,-48.4194445,-14.3583333,1
850,Psittacanthus robustus,-47.516667,-14.116667,1
851,Psittacanthus robustus,-46.3694,-14.0931,1
852,Psittacanthus robustus,-45.646944,-14.2225,1
853,Psittacanthus robustus,-44.433333,-13.9,1
854,Psittacanthus robustus,-42.416667,-13.75,1
855,Psittacanthus robustus,-41.834722,-13.595278,1
856,Psittacanthus robustus,-60.420556,-12.506111,1
857,Psittacanthus robustus,-51.76666,-12.81666,1
858,Psittacanthus robustus,-49.083333,-13.266667,1
859,Psittacanthus robustus,-41.833333,-13.033333,1
860,Psittacanthus robustus,-38.5,-12.966667,1
861,Psittacanthus robustus,-50.670556,-11.6725,1
862,Psittacanthus robustus,-47.702222,-11.685556,1
863,Psittacanthus robustus,-46.565278,-11.818611,1
864,Psittacanthus robustus,-41.15,-11.55,1
865,Psittacanthus robustus,-37.83694,-12.22611,1
866,Psittacanthus robustus,-65.264918,-10.719327,1
867,Psittacanthus robustus,-52.8731,-10.8339,1
868,Psittacanthus robustus,-51.0456,-11.3602,1
869,Psittacanthus robustus,-49.630556,-10.916944,1
870,Psittacanthus robustus,-48.364722,-10.446111,1
871,Psittacanthus robustus,-48.091389,-10.4525,1
872,Psittacanthus robustus,-45.560556,-11.108611,1
873,Psittacanthus robustus,-37.425861,-11.382639,1
874,Psittacanthus robustus,-36.9764,-10.7886,1
875,Psittacanthus robustus,-55.437667,-9.6753861,1
876,Psittacanthus robustus,-47.209444,-10.002778,1
877,Psittacanthus robustus,-42.225278,-9.655556,1
878,Psittacanthus robustus,-36.231383,-10.116194,1
879,Psittacanthus robustus,-61.649444,-8.476944,1
880,Psittacanthus robustus,-60.827778,-9.120556,1
881,Psittacanthus robustus,-55.44,-9.08,1
882,Psittacanthus robustus,-48.091111,-8.744444,1
883,Psittacanthus robustus,-46.716667,-8.633333,1
884,Psittacanthus robustus,-43.488889,-9.221667,1
885,Psittacanthus robustus,-54.936111,-8.258889,1
886,Psittacanthus robustus,-46.083333,-7.583333,1
887,Psittacanthus robustus,-45.07,-7.4,1
888,Psittacanthus robustus,-47.381388,-6.946667,1
889,Psittacanthus robustus,-47.041861,-7.266083,1
890,Psittacanthus robustus,-45.116667,-7.2,1
891,Psittacanthus robustus,-34.978056,-6.458333,1
892,Psittacanthus robustus,-41.45,-3.500556,1
893,Psittacanthus robustus,-54.899167,-2.537778,1
894,Psittacanthus robustus,-43.275833,-2.897778,1
895,Psittacanthus robustus,-42.384444,-2.967222,1
896,Psittacanthus robustus,-46.432778,-1.050278,1
897,Psittacanthus robustus,-61.149444,1.838333,1
898,Psittacanthus robustus,-53.822222,2.516667,1
899,Psittacanthus robustus,-58.8675,3.94972,1
900,Qualea cordata,-64.9208,-35.3869,1
901,Qualea cordata,-55.58,-27.28,1
902,Qualea cordata,-57.25,-26,1
903,Qualea cordata,-56.83333,-26.05,1
904,Qualea cordata,-57,-25.25,1
905,Qualea cordata,-56,-25.16667,1
906,Qualea cordata,-53.5537,-25.026555,1
907,Qualea cordata,-50.265836,-24.569618,1
908,Qualea cordata,-50.03333,-24.5,1
909,Qualea cordata,-52.753694,-23.9155,1
910,Qualea cordata,-49.6599,-24.1714,1
911,Qualea cordata,-49.070278,-24.062222,1
912,Qualea cordata,-47.758867,-23.900578,1
913,Qualea cordata,-58.1689,-23.2025,1
914,Qualea cordata,-57,-23,1
915,Qualea cordata,-56.0666667,-22.6333333,1
916,Qualea cordata,-54.233333,-23.059722,1
917,Qualea cordata,-52.650833,-22.782222,1
918,Qualea cordata,-51.3148,-22.4778,1
919,Qualea cordata,-51.2346,-22.4837,1
920,Qualea cordata,-49.9922,-22.5303,1
921,Qualea cordata,-48.5184,-23.353,1
922,Qualea cordata,-47.086761,-22.863721,1
923,Qualea cordata,-57.5716667,-22.2758334,1
924,Qualea cordata,-56.5,-22.1667,1
925,Qualea cordata,-50.9788,-22.3714,1
926,Qualea cordata,-48.5284,-22.0834,1
927,Qualea cordata,-47.38,-22.35028,1
928,Qualea cordata,-43.888055,-21.988889,1
929,Qualea cordata,-50.348611,-20.926111,1
930,Qualea cordata,-49.973889,-21.001389,1
931,Qualea cordata,-48.9603,-20.6369,1
932,Qualea cordata,-46.3881,-20.8636,1
933,Qualea cordata,-45.987333,-20.908556,1
934,Qualea cordata,-43.491111,-21.127778,1
935,Qualea cordata,-46.4225,-19.684722,1
936,Qualea cordata,-44.434267,-20.384428,1
937,Qualea cordata,-43.901944,-20.110556,1
938,Qualea cordata,-45.539444,-19.006389,1
939,Qualea cordata,-44.618981,-18.469753,1
940,Qualea cordata,-43.7,-19.166667,1
941,Qualea cordata,-61.5,-17.5,1
942,Qualea cordata,-59.6697223,-18.3338889,1
943,Qualea cordata,-59.02583,-17.96472,1
944,Qualea cordata,-48.75,-17.8,1
945,Qualea cordata,-47.700278,-17.548333,1
946,Qualea cordata,-44.25,-17.883333,1
947,Qualea cordata,-43.608333,-17.468056,1
948,Qualea cordata,-43.205278,-18.0725,1
949,Qualea cordata,-64.435,-16.7261,1
950,Qualea cordata,-62,-16.417,1
951,Qualea cordata,-47.61333,-16.76861,1
952,Qualea cordata,-46.946806,-17.376083,1
953,Qualea cordata,-46,-17,1
954,Qualea cordata,-43.340833,-17.015833,1
955,Qualea cordata,-42.864364,-16.573806,1
956,Qualea cordata,-41.94,-17.28,1
957,Qualea cordata,-55.727222,-15.485278,1
958,Qualea cordata,-48.960833,-15.708083,1
959,Qualea cordata,-45.75,-15.6227778,1
960,Qualea cordata,-42.731306,-15.653889,1
961,Qualea cordata,-39.116667,-15.933333,1
962,Qualea cordata,-61.1331,-14.9408,1
963,Qualea cordata,-42.313611,-15.317777,1
964,Qualea cordata,-42.164444,-15.076389,1
965,Qualea cordata,-40.793889,-14.788889,1
966,Qualea cordata,-42.537222,-14.213889,1
967,Qualea cordata,-41.873333,-13.459167,1
968,Qualea cordata,-41.85,-13.25,1
969,Qualea cordata,-41.233333,-12.9,1
970,Qualea cordata,-41.000833,-11.627778,1
971,Qualea cordata,-52.8731,-10.8339,1
972,Qualea cordata,-41.355556,-11.354167,1
973,Qualea cordata,-41.236389,-11.373889,1
974,Qualea dichotoma,-50.413611,-24.509444,1
975,Qualea dichotoma,-46.765,-23.453611,1
976,Qualea dichotoma,-50.3694,-22.5989,1
977,Qualea dichotoma,-48.5184,-23.353,1
978,Qualea dichotoma,-46.95,-22.4333,1
979,Qualea dichotoma,-45.3106,-23.2231,1
980,Qualea dichotoma,-43.223056,-22.967222,1
981,Qualea dichotoma,-50.9788,-22.3714,1
982,Qualea dichotoma,-49.0319,-22.3546,1
983,Qualea dichotoma,-47.6,-21.6169,1
984,Qualea dichotoma,-55.4875,-20.464722,1
985,Qualea dichotoma,-51.766667,-20.983333,1
986,Qualea dichotoma,-51.100278,-20.630556,1
987,Qualea dichotoma,-49.9739,-21.0014,1
988,Qualea dichotoma,-48.9603,-20.6369,1
989,Qualea dichotoma,-43.80639,-20.95361,1
990,Qualea dichotoma,-55.150814,-19.907092,1
991,Qualea dichotoma,-51.419167,-20.367778,1
992,Qualea dichotoma,-49.516667,-19.916667,1
993,Qualea dichotoma,-47.47,-20.25,1
994,Qualea dichotoma,-46.31,-20.19,1
995,Qualea dichotoma,-44.298089,-20.003811,1
996,Qualea dichotoma,-43.745,-19.5136,1
997,Qualea dichotoma,-48.277404,-18.9223814,1
998,Qualea dichotoma,-47.453889,-19.149167,1
999,Qualea dichotoma,-44.40417,-19.27444,1
1000,Qualea dichotoma,-43.71417,-19.16917,1
1001,Qualea dichotoma,-59.68333,-18.33333,1
1002,Qualea dichotoma,-51.717222,-17.923056,1
1003,Qualea dichotoma,-50.0848,-17.6874,1
1004,Qualea dichotoma,-48.62472,-17.74194,1
1005,Qualea dichotoma,-48.15,-17.716667,1
1006,Qualea dichotoma,-44.25,-17.883333,1
1007,Qualea dichotoma,-44.060278,-18.185833,1
1008,Qualea dichotoma,-43.167222,-18.096389,1
1009,Qualea dichotoma,-61.78333,-17.06666,1
1010,Qualea dichotoma,-52.016667,-16.832222,1
1011,Qualea dichotoma,-50.82,-17.330833,1
1012,Qualea dichotoma,-49.2544621,-16.6823359,1
1013,Qualea dichotoma,-48.0206,-16.6809,1
1014,Qualea dichotoma,-46.86666,-17.03333,1
1015,Qualea dichotoma,-42.933,-16.617,1
1016,Qualea dichotoma,-39.05,-16.433333,1
1017,Qualea dichotoma,-57.202056,-15.631611,1
1018,Qualea dichotoma,-56.09667,-15.59611,1
1019,Qualea dichotoma,-48.8875,-15.806944,1
1020,Qualea dichotoma,-47.92,-15.73,1
1021,Qualea dichotoma,-42.735,-15.645833,1
1022,Qualea dichotoma,-41.908333,-16.129444,1
1023,Qualea dichotoma,-61.12833,-15.01027,1
1024,Qualea dichotoma,-48.094722,-15.303889,1
1025,Qualea dichotoma,-47,-15.116667,1
1026,Qualea dichotoma,-42.466389,-14.569722,1
1027,Qualea dichotoma,-40.83917,-14.86611,1
1028,Qualea dichotoma,-48.333,-13.833,1
1029,Qualea dichotoma,-47.516667,-14.116667,1
1030,Qualea dichotoma,-47.085555,-13.935278,1
1031,Qualea dichotoma,-42.315833,-13.745833,1
1032,Qualea dichotoma,-41.81666,-13.58333,1
1033,Qualea dichotoma,-41.233333,-13.520556,1
1034,Qualea dichotoma,-55.920275,-12.988422,1
1035,Qualea dichotoma,-42.351111,-13.120556,1
1036,Qualea dichotoma,-41.44722,-12.45361,1
1037,Qualea dichotoma,-41.033333,-12.566667,1
1038,Qualea dichotoma,-50.976944,-11.575278,1
1039,Qualea dichotoma,-45.256944,-12.208333,1
1040,Qualea dichotoma,-41.338056,-11.490278,1
1041,Qualea dichotoma,-40.554444,-11.4075,1
1042,Qualea dichotoma,-52.8731,-10.8339,1
1043,Qualea dichotoma,-45.193055,-11.048333,1
1044,Qualea dichotoma,-41.314167,-11.084444,1
1045,Qualea dichotoma,-40.466667,-11.265833,1
1046,Qualea dichotoma,-52.37,-9.717778,1
1047,Qualea dichotoma,-49.896111,-9.835833,1
1048,Qualea dichotoma,-50.82,-7.330833,1
1049,Qualea dichotoma,-44.987256,-6.715361,1
1050,Qualea grandiflora,-57,-25,1
1051,Qualea grandiflora,-55.301124,-23.967773,1
1052,Qualea grandiflora,-55,-24.33333,1
1053,Qualea grandiflora,-52.333333,-24.030556,1
1054,Qualea grandiflora,-49.6599,-24.1714,1
1055,Qualea grandiflora,-49,-24,1
1056,Qualea grandiflora,-48.0531,-23.5917,1
1057,Qualea grandiflora,-46.632446,-23.628995,1
1058,Qualea grandiflora,-58.1689,-23.2025,1
1059,Qualea grandiflora,-57,-23,1
1060,Qualea grandiflora,-55.9825,-22.6555556,1
1061,Qualea grandiflora,-51.3148,-22.4778,1
1062,Qualea grandiflora,-50.496222,-22.582611,1
1063,Qualea grandiflora,-50.0583,-22.5755,1
1064,Qualea grandiflora,-48.8675,-22.651111,1
1065,Qualea grandiflora,-47.84972,-23.35028,1
1066,Qualea grandiflora,-46.95,-22.4333,1
1067,Qualea grandiflora,-45.8869,-23.1794,1
1068,Qualea grandiflora,-57.5530556,-22.2691667,1
1069,Qualea grandiflora,-56.816667,-22.116667,1
1070,Qualea grandiflora,-56.116667,-21.433333,1
1071,Qualea grandiflora,-53.9045,-21.748139,1
1072,Qualea grandiflora,-52.92,-21.42,1
1073,Qualea grandiflora,-52.200278,-21.691389,1
1074,Qualea grandiflora,-50.9788,-22.3714,1
1075,Qualea grandiflora,-50,-22,1
1076,Qualea grandiflora,-49.0297,-22.3553,1
1077,Qualea grandiflora,-48.0329,-22.1092,1
1078,Qualea grandiflora,-47.119444,-22.188333,1
1079,Qualea grandiflora,-44.649625,-21.494147,1
1080,Qualea grandiflora,-59.88,-20.94,1
1081,Qualea grandiflora,-56.521389,-21.116389,1
1082,Qualea grandiflora,-55.783333,-20.466667,1
1083,Qualea grandiflora,-54.642222,-20.561944,1
1084,Qualea grandiflora,-52.983333,-21.261111,1
1085,Qualea grandiflora,-51.913,-20.838417,1
1086,Qualea grandiflora,-51.054611,-21.114583,1
1087,Qualea grandiflora,-49.9292,-20.7428,1
1088,Qualea grandiflora,-48.8225,-20.484722,1
1089,Qualea grandiflora,-47.754,-21.1311,1
1090,Qualea grandiflora,-46.552778,-21.144278,1
1091,Qualea grandiflora,-45.638467,-21.16625,1
1092,Qualea grandiflora,-44.466742,-21.211383,1
1093,Qualea grandiflora,-44.075435,-20.914714,1
1094,Qualea grandiflora,-57.851306,-19.767056,1
1095,Qualea grandiflora,-56.833333,-20.083333,1
1096,Qualea grandiflora,-55.733333,-20.366944,1
1097,Qualea grandiflora,-55.140555,-19.910833,1
1098,Qualea grandiflora,-52.037791,-19.971209,1
1099,Qualea grandiflora,-49.4142,-20.1453,1
1100,Qualea grandiflora,-48.7648,-20.2581,1
1101,Qualea grandiflora,-47.460278,-20.247778,1
1102,Qualea grandiflora,-46.538889,-19.477778,1
1103,Qualea grandiflora,-45.982732,-20.022985,1
1104,Qualea grandiflora,-44.465833,-20.220278,1
1105,Qualea grandiflora,-43.9378,-19.9208,1
1106,Qualea grandiflora,-41.818889,-19.736389,1
1107,Qualea grandiflora,-57.616667,-19.25,1
1108,Qualea grandiflora,-56.783333,-19.066667,1
1109,Qualea grandiflora,-54.725,-18.537222,1
1110,Qualea grandiflora,-52.781111,-19.247778,1
1111,Qualea grandiflora,-51.995278,-18.439444,1
1112,Qualea grandiflora,-50.851944,-19.094444,1
1113,Qualea grandiflora,-49.404167,-19.100278,1
1114,Qualea grandiflora,-48.324722,-18.828056,1
1115,Qualea grandiflora,-47.266667,-19.333333,1
1116,Qualea grandiflora,-46.993611,-18.944722,1
1117,Qualea grandiflora,-45.366667,-18.583333,1
1118,Qualea grandiflora,-44.40417,-19.27444,1
1119,Qualea grandiflora,-43.6161111,-19.3058333,1
1120,Qualea grandiflora,-42.594722,-19.221389,1
1121,Qualea grandiflora,-63.41666,-17.68333,1
1122,Qualea grandiflora,-61.5,-17.5,1
1123,Qualea grandiflora,-60.3569444,-17.9241667,1
1124,Qualea grandiflora,-59.5,-18.38333,1
1125,Qualea grandiflora,-57.486944,-17.994722,1
1126,Qualea grandiflora,-55.333333,-17.833333,1
1127,Qualea grandiflora,-53.302222,-18.239722,1
1128,Qualea grandiflora,-51.7144,-17.8814,1
1129,Qualea grandiflora,-51.156667,-18.128333,1
1130,Qualea grandiflora,-50.0839,-17.6472,1
1131,Qualea grandiflora,-48.625,-17.7417,1
1132,Qualea grandiflora,-47.939361,-18.098014,1
1133,Qualea grandiflora,-47.091729,-17.572987,1
1134,Qualea grandiflora,-45.185,-18.203333,1
1135,Qualea grandiflora,-43.895797,-18.190322,1
1136,Qualea grandiflora,-64.435,-16.7261,1
1137,Qualea grandiflora,-62.45,-16.6375,1
1138,Qualea grandiflora,-61.87111,-16.70722,1
1139,Qualea grandiflora,-60.9166667,-16.4333333,1
1140,Qualea grandiflora,-57.671683,-16.705139,1
1141,Qualea grandiflora,-54.579503,-16.462272,1
1142,Qualea grandiflora,-53.46,-17.28,1
1143,Qualea grandiflora,-52.666667,-16.45,1
1144,Qualea grandiflora,-51.81028,-16.95694,1
1145,Qualea grandiflora,-50.481667,-16.944444,1
1146,Qualea grandiflora,-49.491389,-17.299167,1
1147,Qualea grandiflora,-49.22806,-16.96222,1
1148,Qualea grandiflora,-48.012222,-16.717778,1
1149,Qualea grandiflora,-46.433333,-16.833333,1
1150,Qualea grandiflora,-46,-17,1
1151,Qualea grandiflora,-45.2,-17.25,1
1152,Qualea grandiflora,-43.749444,-16.68,1
1153,Qualea grandiflora,-42.916667,-16.5,1
1154,Qualea grandiflora,-62.51666,-16.3,1
1155,Qualea grandiflora,-62.08333,-16.05,1
1156,Qualea grandiflora,-57.671778,-16.072333,1
1157,Qualea grandiflora,-56.250556,-15.741389,1
1158,Qualea grandiflora,-55.333333,-15.5,1
1159,Qualea grandiflora,-52.280278,-15.8425,1
1160,Qualea grandiflora,-52.026861,-16.270444,1
1161,Qualea grandiflora,-50.36056,-15.44611,1
1162,Qualea grandiflora,-50.166667,-16.083333,1
1163,Qualea grandiflora,-48.75361,-15.74639,1
1164,Qualea grandiflora,-47.816667,-16.083333,1
1165,Qualea grandiflora,-46.433333,-16.083333,1
1166,Qualea grandiflora,-45.266667,-16.366667,1
1167,Qualea grandiflora,-44.405528,-16.269917,1
1168,Qualea grandiflora,-43.025277,-16.341666,1
1169,Qualea grandiflora,-68.7639444,-14.5820278,1
1170,Qualea grandiflora,-67.66083,-14.62583,1
1171,Qualea grandiflora,-62.73333,-15.18972,1
1172,Qualea grandiflora,-62.01,-15.19,1
1173,Qualea grandiflora,-60.3925,-14.8031,1
1174,Qualea grandiflora,-56.266667,-15.316667,1
1175,Qualea grandiflora,-55.8333333,-15.3833333,1
1176,Qualea grandiflora,-55.2,-14.6,1
1177,Qualea grandiflora,-54.0425,-15.230278,1
1178,Qualea grandiflora,-52.333333,-14.75,1
1179,Qualea grandiflora,-52.233333,-14.633333,1
1180,Qualea grandiflora,-50.5,-14.9166667,1
1181,Qualea grandiflora,-50.066667,-15,1
1182,Qualea grandiflora,-49.14056,-14.52472,1
1183,Qualea grandiflora,-47.66125,-15.362667,1
1184,Qualea grandiflora,-47.022056,-14.94575,1
1185,Qualea grandiflora,-46.191694,-14.589083,1
1186,Qualea grandiflora,-45,-15,1
1187,Qualea grandiflora,-42.466389,-14.569722,1
1188,Qualea grandiflora,-67.894968,-14.15002,1
1189,Qualea grandiflora,-60.353889,-13.7325,1
1190,Qualea grandiflora,-60.1333333,-13.8333333,1
1191,Qualea grandiflora,-58.68,-13.68,1
1192,Qualea grandiflora,-57.541667,-14.274167,1
1193,Qualea grandiflora,-56.5,-14.283333,1
1194,Qualea grandiflora,-55.269444,-13.583333,1
1195,Qualea grandiflora,-51.947889,-13.387722,1
1196,Qualea grandiflora,-49.295833,-14.197222,1
1197,Qualea grandiflora,-48.367,-14.167,1
1198,Qualea grandiflora,-47.4583,-13.7975,1
1199,Qualea grandiflora,-47.217611,-13.593194,1
1200,Qualea grandiflora,-45.5833333,-13.5,1
1201,Qualea grandiflora,-44.496389,-14.068889,1
1202,Qualea grandiflora,-44.2125,-14.231667,1
1203,Qualea grandiflora,-42.537222,-14.359167,1
